,sentiment,date,text
54,0,tue dec 02 01:11:43 +0000 2014,photo love ios  apple iphone love ios nocrop iphone young phone screen capturescream boy
55,1,tue dec 02 01:13:03 +0000 2014,why does apple force people to use its vpn built in to ios off button doesn't work ffs like i want apple's nsa data collection service
56,1,tue dec 02 01:15:12 +0000 2014,then how the hell did i take this screenshot apple timcook
57,0,tue dec 02 01:17:55 +0000 2014,rt thehill department cites th century federal law to get apple to unlock iphones
58,1,tue dec 02 01:25:49 +0000 2014,buy round lot on the open mt wsjd aapl stock briefly dove % today analysts not sure why
59,1,tue dec 02 01:36:18 +0000 2014,g is draining my battery fix this apple
60,1,tue dec 02 01:40:38 +0000 2014,apple your chargers suck ass they just love to break
61,0,tue dec 02 01:45:03 +0000 2014,aaplmy three horsemen of the nasdaq  apple microsoft and gilead scie
62,1,tue dec 02 01:49:00 +0000 2014,i'm hoping apple won't automatically make us download bruce springsteen and u singing together u bruce espn thatwasbad
63,1,tue dec 02 01:52:00 +0000 2014,thehill apple what a joke justice dept should prosecute killer wilson in pursuit of justice ferguson is not over
64,0,tue dec 02 01:52:18 +0000 2014,aydlettgwyn apple please educate us
65,1,tue dec 02 01:53:41 +0000 2014,rt tinfoiltricorn thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure
66,0,tue dec 02 01:58:06 +0000 2014,the game traders play in the name of market liquidity hft darkpools stock trading algorithms aapl
67,0,tue dec 02 02:00:04 +0000 2014,aapl steve jobs emails you need to read
68,1,tue dec 02 02:00:59 +0000 2014,so so sooooo annoyed did the restore from my back up and lost my voice mails i needed to keep those thanks a lot apple
69,1,tue dec 02 02:03:46 +0000 2014,thisnyosemite update is stressing me out apple macbookpro
70,1,tue dec 02 02:04:40 +0000 2014,just broke my rd charger of the month get your shit together apple
71,1,tue dec 02 02:09:56 +0000 2014,this iphone  battery isn't as good as you claim apple
72,1,tue dec 02 02:10:38 +0000 2014,nasdaq big fall fb baba twtr linkd apple fell -% on monday see whether follow up 
73,0,tue dec 02 02:14:37 +0000 2014,iphone users face big change over apple [apple]'s google search choice (monday  december)
74,0,tue dec 02 02:14:56 +0000 2014,rt chanchan aydlettgwyn apple please educate us
75,0,tue dec 02 02:16:00 +0000 2014,just updated my ram to gb apple you guys are like shallow gf's take all the money but dammit you look good
76,1,tue dec 02 02:16:19 +0000 2014,apple iphone oh it's not fair and i think you're really mean
77,0,tue dec 02 02:25:30 +0000 2014,whoknew why isn't apple on twitter interestingfact passingthetime
78,0,tue dec 02 02:27:54 +0000 2014,rt jodispicer whoknew why isn't apple on twitter interestingfact passingthetime
79,0,tue dec 02 02:38:28 +0000 2014,ibm apple ios users account for % of all online sales x android users (%) they are dominating business sales cybermonday
80,1,tue dec 02 02:56:02 +0000 2014,i hate how ios  capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together apple
81,0,tue dec 02 02:56:56 +0000 2014,gramerican i've made clear i support rand paul in  in most cases why is everyone pigeonholed as red or blue also u like apple
82,1,tue dec 02 02:56:57 +0000 2014,apple why was the iphone  ever created
83,1,tue dec 02 03:00:07 +0000 2014,apple i fucking hate you
84,0,tue dec 02 03:00:29 +0000 2014,apple please can i have new phone for christmas spreadsomejoy
85,0,tue dec 02 03:01:44 +0000 2014,perfome apple pie
86,0,tue dec 02 03:05:32 +0000 2014,apple rumoured to be launching a 'mega tab' because biggerisbetter
87,0,tue dec 02 03:09:32 +0000 2014,apple inc pt upped by barclays morgan stanley trims stake aapl
88,1,tue dec 02 03:09:39 +0000 2014,it's not like the app costs money just let me download it apple
89,0,tue dec 02 03:13:14 +0000 2014,rt hamzeianalytics new ha blog post &gt;&gt;&gt; final aapl putcallratios for monday december  
90,0,tue dec 02 03:15:03 +0000 2014,aapljim cramer's  best stock picks for the health care sector
91,1,tue dec 02 03:28:00 +0000 2014,my phones been charging for an hour but it keeps losing percentage get ur shit together apple
92,0,tue dec 02 03:30:02 +0000 2014,steve jobs clave en juicio contra apple
93,0,tue dec 02 03:49:22 +0000 2014,my laptop was completely dead and blacked out for  days  i finally opened the inside and fixed it hire me apple
94,1,tue dec 02 03:49:34 +0000 2014,baseballbridget apple we couldn't even get a turkey for tday so they just don't care appleemojissuck
95,1,tue dec 02 03:52:58 +0000 2014,rt toricolelli my phones been charging for an hour but it keeps losing percentage get ur shit together apple
96,0,tue dec 02 03:57:07 +0000 2014,apple (nasdaq aapl) participates in world aids day campaign  apple aapl campaign
97,0,tue dec 02 03:58:50 +0000 2014,well played apple
98,0,tue dec 02 04:00:59 +0000 2014,thank you apple
99,1,tue dec 02 04:07:57 +0000 2014,fix it apple
100,0,tue dec 02 04:08:21 +0000 2014,rt iamgambino thank you apple
101,1,tue dec 02 04:09:46 +0000 2014,how long does it really take for a phone to ship apple smh
102,0,tue dec 02 04:11:56 +0000 2014,apple ipod lawsuit will reveal unseen steve jobs video
103,0,tue dec 02 04:12:53 +0000 2014,rt smartoutsource apple ipod lawsuit will reveal unseen steve jobs video
104,0,tue dec 02 04:21:29 +0000 2014,lol dying apple
105,1,tue dec 02 04:24:00 +0000 2014,so on my iphone the apple health kit is no longer gathering data sigh
106,1,tue dec 02 04:30:31 +0000 2014,thanks apple for changing yet another fuck into duckthanks
107,1,tue dec 02 04:33:28 +0000 2014,apple yh news apple tumbles as much as  percent in unusual trading by chuck mikolajczak new york (reuters) 
108,1,tue dec 02 04:34:05 +0000 2014,brwnskinbeauti cause fuck apple
109,1,tue dec 02 04:36:38 +0000 2014,if i buy a  gb phone i should have  gb's to use apple
110,1,tue dec 02 04:37:44 +0000 2014,fuck you for breaking my music apple
111,0,tue dec 02 04:41:05 +0000 2014,have apple inc's ipad sales peaked aapl
112,0,tue dec 02 04:53:24 +0000 2014,barclay's apple analyst joins the crowd and increases price target - forbes aapl
113,1,tue dec 02 04:54:14 +0000 2014,just need apple to come out with a charger cord that keep a charge  don't fall apart
114,1,tue dec 02 05:00:08 +0000 2014,rt amandazuckerman you should be able to forward a voicemail why isn't that a thing apple
115,1,tue dec 02 05:03:26 +0000 2014,apple and facebook i speak for all of humanity; we want to chose what contacts are added to our contacts book from facebook thanks
116,1,tue dec 02 05:06:09 +0000 2014,apple i h everything about u
117,1,tue dec 02 05:06:55 +0000 2014,apple ur a disgrace
118,0,tue dec 02 05:07:11 +0000 2014,apple i want my pictures back
119,1,tue dec 02 05:07:30 +0000 2014,my phone is on acid right now apple fix this
120,1,tue dec 02 05:11:58 +0000 2014,apple i had a power cord problem- under warranty you said it would be fine it isn't and now you won't replace it
121,1,tue dec 02 05:13:02 +0000 2014,apple this was normal use-- no abuse wrapped it exactly as you instructed me to this is a fire hazard you should replace it defective
122,0,tue dec 02 05:14:39 +0000 2014,apple btw i love all of your products they rock your power cords are junk you seriously need to fix this
123,0,tue dec 02 05:16:00 +0000 2014,rt donacamp brass band at apple store broadway winterseve nyc
124,1,tue dec 02 05:25:24 +0000 2014,yo apple fix your shitty imessage
125,0,tue dec 02 05:35:04 +0000 2014,aapl rt aboveavalon apple's share repurchases have benefited shareholders by $ billion
126,0,tue dec 02 05:37:33 +0000 2014,even with apple watch delayed i'm raising my aapl price target to $ - aapl alexcho
127,0,tue dec 02 05:40:45 +0000 2014,i love airmiles between chaptersindigo  apple i earned ~ miles during the blackfriday sale freemoney centsability cybermonday
128,1,tue dec 02 05:42:54 +0000 2014,yo apple this auto correct shit gotta stop changing my shit right when i send it
129,0,tue dec 02 06:00:54 +0000 2014,first apple logo was designed by co-founder ronald wayne drawing of isaac newton reading a book under an apple tree
130,1,tue dec 02 06:01:11 +0000 2014,those** pick up the slack you fuck boys apple
131,0,tue dec 02 06:09:23 +0000 2014,surface maybe good product but never better then apple macbook air  it's a fact
132,1,tue dec 02 06:52:06 +0000 2014,fucking faggots apple
133,1,tue dec 02 06:52:43 +0000 2014,apple of course that's not their mother fucking 
134,0,tue dec 02 06:54:50 +0000 2014,apple inc store logos turn red for world aids day aapl
135,1,tue dec 02 06:55:35 +0000 2014,the fuck kinda gay shit you print in the fucking ketosis apple
136,1,tue dec 02 06:57:40 +0000 2014,game*** apple you bitches really trying me tonight rt dremacsamillion whosflyy gams night gawd
137,1,tue dec 02 07:15:09 +0000 2014,rt bellabong apple u need to get ur fucking shit together and let me txt while on youtube
138,1,tue dec 02 07:16:12 +0000 2014,apple disney why can't i buy any version let alone the version i actually like of star wars on itunesmovies stupid lame starwars
139,0,tue dec 02 07:21:27 +0000 2014,apple timcook perhaps a less malleable metal for the shell of the iphonesplus noticedsomecurve
140,0,tue dec 02 07:24:48 +0000 2014,apple where the ipod  at doe
141,1,tue dec 02 07:32:56 +0000 2014,can apple drop audio only rendition requirement for ios apps users hate it no other stores want it other platforms don't know what it is
142,1,tue dec 02 07:45:08 +0000 2014,none too happy with apple mac os x (yosemite) file vault  or boot camp right now thankful to own a lenovo
143,0,tue dec 02 08:04:55 +0000 2014,iphones to emerge spring  with apple [apple] watch (tuesday  december)
144,0,tue dec 02 08:25:58 +0000 2014,all my apps on apple ipodtouchthgen
145,1,tue dec 02 08:27:10 +0000 2014,i demand there be a tapatio emoji apple
146,0,tue dec 02 08:27:27 +0000 2014,my apps apple ipodtouchthgen
147,0,tue dec 02 08:30:04 +0000 2014,aapl call america for free until christmas tesco cuts costs for relaunch
148,1,tue dec 02 08:37:56 +0000 2014,so for the second time aapl pages ate my edits bn amateurs fail iwantjobsback
149,1,tue dec 02 08:44:36 +0000 2014,feel so lost with out my phone apple iphone  chargers are horrendous brokenchargerprobs
150,0,tue dec 02 08:45:04 +0000 2014,aaplapple heads to trial over digital music claims
151,1,tue dec 02 08:46:14 +0000 2014,excellent news houseofcards s on netflix  i wonder if yosemite  my wifi will be talking by then apple timcook  it's been wks
152,1,tue dec 02 08:46:43 +0000 2014,apple my laptop is burning my legs what do u have to say about this
153,0,tue dec 02 08:49:46 +0000 2014,benhll netflix apple timcook great news hope your wifi gets sorted though
154,0,tue dec 02 08:50:13 +0000 2014,the secret of life from steve jobs in  seconds some motivation from the late ceo of apple
155,0,tue dec 02 08:54:32 +0000 2014, best stevejobs apple aapl tech via
156,1,tue dec 02 09:03:55 +0000 2014,hammerarcade this makes me feel so sad ;-; why do u have to be so rood apple
157,1,tue dec 02 09:25:47 +0000 2014,i hate these apple earphones so bad why in the world did they think it was a good idea to p
158,0,tue dec 02 09:30:38 +0000 2014,quentinnield apple i need to reinstall on my apple ipad 
159,0,tue dec 02 09:31:29 +0000 2014,apple i salut you kcdenton's photo
160,0,tue dec 02 09:57:08 +0000 2014,smartphonetablet to become home automation hub how can any wireless protocol beat wifi and bluetooth apple homekit shortcutlabs flic
161,0,tue dec 02 10:01:35 +0000 2014,options outlook amid heavy week of economic events aapl goog googl tsla wmt premarket markets
162,1,tue dec 02 10:15:47 +0000 2014,why you dying so fast phone fuck you apple
163,1,tue dec 02 10:22:00 +0000 2014,remuuusss apple fix this
164,0,tue dec 02 10:23:53 +0000 2014,it's been said 'don't talk about politics' but i can't take it anymr i'll still post about cisco apple and others but we need change
165,0,tue dec 02 10:43:18 +0000 2014,does anybody knows how to use on a macbook pro retina us keyboard thank you so much apple macbook pro apple keyboard
166,0,tue dec 02 10:47:54 +0000 2014,the best guest behind apple's rapid stock price decline yesterday is algorithmic trading $bn wiped off by automatic computer trades aapl
167,0,tue dec 02 10:49:45 +0000 2014,apple awarded patent  augmented reality devices w transparent displays -
168,1,tue dec 02 11:11:30 +0000 2014,apple apple iphone iphone iphones iphoneproblems someone fucking help me someone who works at apple fucking help me do ur job cunts
169,1,tue dec 02 11:30:02 +0000 2014,wtf apple synching notes or icloud pages is unusable it used to be easier
170,1,tue dec 02 11:42:11 +0000 2014,hey apple fuck you just let me change stores
171,1,tue dec 02 11:43:08 +0000 2014,about to write a huge fuck you to apple for not letting me make reservations to get my laptop fixed
172,1,tue dec 02 11:44:21 +0000 2014,apple tumbles as much as  percent in unusual trading $aapl aapl
173,0,tue dec 02 11:45:09 +0000 2014,angusdick yes had that exact issue took it to apple for a free battery replacement trackpad ended up being fine
174,1,tue dec 02 11:46:53 +0000 2014,jimcramer says 'machines' caused apple's big drop $aapl
175,1,tue dec 02 11:46:56 +0000 2014,maxscottslade apple yeah the trackpad is fine and working now but i had to damage one of the screw holdings to get the battery out
176,0,tue dec 02 12:00:48 +0000 2014,video shows size of -inch 'ipad air plus' mockup next to iphones ipads and macbook aapl
177,0,tue dec 02 12:08:48 +0000 2014,rt elnuevoherald steve jobs clave en juicio contra apple
178,1,tue dec 02 12:14:24 +0000 2014,apple fail - since updating my ipad os there is a bug that does not delete videos and free up memory forcing
179,0,tue dec 02 12:18:10 +0000 2014,apple opening new retail store in toledo ohio saturday december  [mac blog] aapl
180,0,tue dec 02 12:32:34 +0000 2014,why morgan stanley is negative on apple and the tech sector $aapl aapl
181,0,tue dec 02 12:44:56 +0000 2014,google is now beating apple in this one key sector $aapl aapl
182,0,tue dec 02 12:45:40 +0000 2014,bbc news - evidence by late steve jobs to be used in music trial aapl
183,1,tue dec 02 12:56:04 +0000 2014,my alarm was set the ringer was on and it just refused to work fuck u apple
184,0,tue dec 02 13:02:47 +0000 2014,twitter facebook alibabatalk google apple n more in race to win payments what's future of payments start-ups microsave fintechhub
185,1,tue dec 02 13:04:49 +0000 2014,i'm lost because it's deer season but there is no deer emoji come on apple how am i suppose to show the love to all my huntin' friendz
186,0,tue dec 02 13:05:07 +0000 2014,neimanmarcus utilizing ibeacons for engagement to send messages to apple passbook personalization via pymnts
187,0,tue dec 02 13:05:59 +0000 2014,technology news apple trial to feature unseen late stevejobs video deposition
188,1,tue dec 02 13:07:51 +0000 2014,apple i figured out memory issue on my ipad it wasnt a bug but a new hidden folder that stores our images
189,0,tue dec 02 13:14:26 +0000 2014,we will be in room  at  today presenting on our experience with apple dep and jamfsoftware herewegolakers
190,0,tue dec 02 13:15:02 +0000 2014,aaplacific crest's apple analyst reiterates selling some shares
191,0,tue dec 02 13:22:34 +0000 2014,pacific crest's apple analyst reiterates selling some shares $aapl aapl
192,1,tue dec 02 13:28:20 +0000 2014,applelawsuit depends on exactly what apple did to hold backbeat their competition there are fair game competitive tactics  unfair s yk
193,0,tue dec 02 13:30:03 +0000 2014,aapl audio auto sales due; apple lawsuit heads to court
194,0,tue dec 02 13:33:19 +0000 2014,apple's pt raised by canaccord genuity to $ buy rating $aapl aapl
195,0,tue dec 02 13:33:31 +0000 2014,apple's pt raised by canaccord genuity to $ buy rating $aapl aapl
196,1,tue dec 02 13:34:11 +0000 2014,iphone has too many issues why tf is the earphone plug in not working apple u better fix this shit for free
197,0,tue dec 02 13:35:46 +0000 2014,cheap chromebooks teach apple a lesson price matters $aapl aapl
198,1,tue dec 02 13:37:18 +0000 2014,mcmillanstu dpz but trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks apple ecomchat
199,1,tue dec 02 13:47:14 +0000 2014,dear apple replace my phone my battery sucks
200,0,tue dec 02 13:47:37 +0000 2014,apple heads to trial over itunes update aapl
201,0,tue dec 02 13:47:49 +0000 2014,from beyond the grave rt gma jurors set  hear fr star witness at apple trial steve jobs
202,0,tue dec 02 13:48:00 +0000 2014,apple heads to trial over digital music claims $appl tech
203,0,tue dec 02 13:48:52 +0000 2014,fantastic service today apple store touchwood - thanks to all  esp zach for sorting my battery problem so quickly  efficiently
204,0,tue dec 02 13:50:40 +0000 2014,here's why apple dropped $aapl aapl
205,0,tue dec 02 13:53:45 +0000 2014,losskitty apple its always like that with new products from apple
206,1,tue dec 02 13:55:11 +0000 2014,thisdueemarco apple thats annoying they never get stuff right the first time
207,0,tue dec 02 13:57:06 +0000 2014,jimcramer what is going on with aapl
208,0,tue dec 02 14:02:02 +0000 2014,apple lower as analyst sees risk of sharp production cuts for iphone  plus in q $aapl aapl
209,0,tue dec 02 14:02:56 +0000 2014,rt jpdesloges apple lower as analyst sees risk of sharp production cuts for iphone  plus in q $aapl aapl
210,1,tue dec 02 14:03:50 +0000 2014,rt laurrynk dear apple replace my phone my battery sucks
211,0,tue dec 02 14:08:49 +0000 2014,thestreet apple gets price target boost on back of strong iphone demand aapl
212,0,tue dec 02 14:13:57 +0000 2014,aapl mt fortunemagazine can apple clear name in ebooks drama eddy cue says he'd do it again- but take better notes
213,0,tue dec 02 14:14:29 +0000 2014,apple with now dual core technology
214,0,tue dec 02 14:15:12 +0000 2014,pacific crest's apple analyst reiterates selling some shares - forbes aapl
215,0,tue dec 02 14:15:20 +0000 2014,every student deserves a chance apple connected txed
216,1,tue dec 02 14:17:03 +0000 2014,i'm surprised there isn't more talk about what looked like a flash crash in aapl yesterday biggest range in years and largely ignored
217,0,tue dec 02 14:17:16 +0000 2014,a lack of equal access to technology places students and minorities at a disadvantage education is the great equalizer apple txed
218,0,tue dec 02 14:20:00 +0000 2014,rt ratingsnetwork apple's pt raised by canaccord genuity to $ buy rating $aapl aapl
219,0,tue dec 02 14:21:03 +0000 2014,apple - fibonacci technicals levels - intraday - pre-opening $aapl aapl
220,0,tue dec 02 14:27:39 +0000 2014,realmac software launches 'typed' a markdown writing app featuring a minimal interface [mac blog] aapl
221,0,tue dec 02 14:29:54 +0000 2014,mazeonpace apple product line competes with itself iphone+ vs ipad who needs an ipad any longer
222,0,tue dec 02 14:30:03 +0000 2014,aapl'fast money' recap energy companies ebb and flow with oil prices
223,0,tue dec 02 14:31:23 +0000 2014,enjoying the introductions at the apple connected launch event some amazing edtech leaders in the room txed
224,0,tue dec 02 14:32:36 +0000 2014,got a new phone apple iphoneplus
225,0,tue dec 02 14:41:50 +0000 2014, more applewatch details exposed aapl
226,0,tue dec 02 14:46:45 +0000 2014,us government attempts 'hail mary' to get apple to unlock iphones aapl
227,0,tue dec 02 14:48:21 +0000 2014,apple - fibonacci technicals levels - intraday update - $aapl aapl
228,1,tue dec 02 14:50:46 +0000 2014,here's why apple won't be a trillion dollar company according to billionaire vc jim breyer aapl
229,1,tue dec 02 14:52:33 +0000 2014,chromebooks overtake apple's ipads in us education market apple googlechrome chromebooks ipad
230,1,tue dec 02 14:55:14 +0000 2014,apple inc is doomed $aapl dropped by % currently priced at  aapl
231,0,tue dec 02 14:58:26 +0000 2014,imagine a world without cracked iphone screens apple patents drop protection mechanism
232,0,tue dec 02 14:58:31 +0000 2014,apple healthkit first movers featured at mhealthsummit | mobiquity's own snyderg also panelist mhealth
233,0,tue dec 02 15:00:03 +0000 2014,aaplhow to remove apple pay credit cards remotely from
234,1,tue dec 02 15:00:43 +0000 2014,apple wants you to stop taking vertical photos via outsidemagazine
235,0,tue dec 02 15:02:10 +0000 2014, best steve jobs emails apple stevejobs aapl
236,0,tue dec 02 15:02:17 +0000 2014,apple is reportedly planning a -inch ipad that will be like microsoft's surface $aapl aapl
237,0,tue dec 02 15:04:11 +0000 2014,apple [apple] patents an iphone drop protection mechanism that changes device  (tuesday  december)
238,0,tue dec 02 15:04:26 +0000 2014,props for apple itc app review team for reviewing metadata rejected resubmission in just  hours thanks
239,0,tue dec 02 15:04:40 +0000 2014,apple bears get paid as put contracts double amid drop news aapl applebears appleoptions apple iphone news
240,1,tue dec 02 15:07:51 +0000 2014,apple yall some hoes
241,0,tue dec 02 15:09:21 +0000 2014,thanks apple for 'keep newer' when transferring files from a local hard drive to a server
242,0,tue dec 02 15:11:51 +0000 2014,does apple store in georgetown sell refurb'd ipads or just new are refurbs only available online
243,0,tue dec 02 15:15:43 +0000 2014,apple - fibonacci technicals levels - intraday update - $aapl aapl
244,0,tue dec 02 15:16:10 +0000 2014,apple flash crash what you need to know aapl
245,0,tue dec 02 15:16:15 +0000 2014,why estimates of a  trillion market cap for apple are still far-fetched fundamental and algorithmic analysis aapl
246,0,tue dec 02 15:20:57 +0000 2014,capitolization apple i believe they are only online but you may be able to 'ship to store'
247,1,tue dec 02 15:23:49 +0000 2014,did you notice that apple apps now say 'get' instead of 'free' this change was due to alleged misleading labeling
248,0,tue dec 02 15:25:08 +0000 2014,aapl market cap passes $ billion tablet sales slump and more
249,0,tue dec 02 15:25:19 +0000 2014,drewbsaunders thanks also interestingly apple isn't apple
250,1,tue dec 02 15:28:06 +0000 2014,shortyawards apple it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if it's free
251,0,tue dec 02 15:29:26 +0000 2014,elgato launches thunderbolt  dock with k resolution support [mac blog] aapl
252,0,tue dec 02 15:31:11 +0000 2014,the sony e-paper fes watch is the coolest piece of wearable tech yet sorry apple by luchanglu via bustle
253,0,tue dec 02 15:36:13 +0000 2014,finally gave up on return of apple ' macbook pro model my ' retina is 'out for delivery' they'll probably announce one next month
254,0,tue dec 02 15:36:20 +0000 2014,apple intraday comments - updated new range - premium users aapl stockaction trading stocks mkt
255,1,tue dec 02 15:36:48 +0000 2014,apple loses ground to google in education tablet sales $aapl aapl
256,0,tue dec 02 15:37:12 +0000 2014,apple computer inc (aapl) rated buy with price target $ by canaccord genuity aapl
257,1,tue dec 02 15:38:37 +0000 2014,apple what do i need to do if my mac has been really slow lately 
258,0,tue dec 02 15:39:43 +0000 2014,apple - fibonacci technicals levels - intraday update - $aapl aapl
259,0,tue dec 02 15:40:25 +0000 2014,rt trahall enjoying the introductions at the apple connected launch event some amazing edtech leaders in the room txed
260,0,tue dec 02 15:46:10 +0000 2014,$aapl aapl green right now hope it stays
261,0,tue dec 02 15:50:01 +0000 2014,rt gregsherry customer service successes  fails apple  southwestair examples dkusnetzky custserv cx cem
262,0,tue dec 02 15:51:58 +0000 2014,sprint offering to halve wireless bills for customers switching from att or verizon [ios blog] aapl
263,0,tue dec 02 15:55:57 +0000 2014,affluent apple users out-spend android users but what do the numbers really mean $aapl aapl
264,0,tue dec 02 16:02:42 +0000 2014,new meaning to soviet jokes 'whatever we produce it turns out as tank' russia seeks kalashnikov to rival apple
265,1,tue dec 02 16:04:30 +0000 2014,your stupid as shit upgrade has ruined the god damned ide apple
266,1,tue dec 02 16:07:01 +0000 2014,you pieces of shit apple god damnit man
267,1,tue dec 02 16:08:14 +0000 2014,hey apple how come i can't make genius bar appointments online anymore
268,0,tue dec 02 16:10:12 +0000 2014,have apple's ipad sales peaked aapl
269,1,tue dec 02 16:11:41 +0000 2014,what happened rt khaleel you pieces of shit apple god damnit man
